cancer_id	group	n_tests	n_significant_BH	significance_percent	mean_odds_ratio	median_odds_ratio	mean_precision	mean_precision_percent	mean_detected_n
TCGA-BLCA	full_family_mean_TOX	4	0	0	1.2522839681386233	1.2615312107107743	0.14237668161434977	14.237668161434977	223
TCGA-BLCA	ALL_TOX	4	0	0	0.9378557642859453	0.9557937053961487	0.1254743833017078	12.54743833017078	3162
TCGA-BLCA	log_family_mean_TOX	4	0	0	0.919057509388746	0.9334518764079697	0.12461538461538461	12.461538461538462	2600
TCGA-BLCA	log_ortholog_mean_TOX	4	0	0	0.8815137422320828	0.9037057196480349	0.12207987942727958	12.207987942727957	2654
TCGA-BLCA	ONLY_TOX	4	0	0	0.6694680428069264	0.6652770645559796	0.09587020648967551	9.58702064896755	1356
TCGA-BRCA	std_log_ortholog_mean_TOX	4	4	100	1.6048279528227105	1.5761469773246137	0.1461169944528492	14.61169944528492	5949
TCGA-BRCA	full_ortholog_mean_TOX	4	4	100	1.5989376164392002	1.5597924510721812	0.14506503442999236	14.506503442999236	6535
TCGA-BRCA	std_log_family_mean_TOX	4	4	100	1.5757496245467915	1.551628356049765	0.14563106796116504	14.563106796116504	5974
TCGA-BRCA	full_family_mean_TOX	4	4	100	1.5439309330323296	1.5058858758031346	0.1433829052125582	14.33829052125582	6657
TCGA-BRCA	TOX_AND_DGE	4	4	100	1.3835855911952697	1.381320783710138	0.1369581944088228	13.695819440882278	7798
TCGA-BRCA	ALL_TOX	4	4	100	1.3379886544679565	1.3337027255879015	0.13354605993340732	13.354605993340732	9010
TCGA-BRCA	ALL_DGE	4	1	25	1.167492078460325	1.1573931094599037	0.12172909184197024	12.172909184197025	15592
TCGA-BRCA	ALL_edgeR	4	1	25	1.1319533382378686	1.110226201635209	0.12222984562607203	12.222984562607204	14575
TCGA-BRCA	ALL_limma	4	0	0	1.0933802636778376	1.08885187861809	0.12236936292054403	12.236936292054402	13970
TCGA-BRCA	ONLY_TOX	4	0	0	0.8640257392984009	0.8674427385483797	0.11159240924092409	11.159240924092408	1212
TCGA-BRCA	log_family_mean_TOX	4	0	0	0.7835074271905306	0.8088611376942041	0.11353517364203028	11.353517364203029	3369
TCGA-BRCA	log_ortholog_mean_TOX	4	0	0	0.755996751983701	0.7793932085188124	0.11063477737665463	11.063477737665464	3324
TCGA-BRCA	ONLY_DGE	4	0	0	0.7484181869020166	0.7503302835010088	0.10649217346676931	10.64921734667693	7794
TCGA-COAD	full_ortholog_mean_TOX	4	4	100	1.4825059817424258	1.4760862192952837	0.1439960139511709	14.39960139511709	6021
TCGA-COAD	full_family_mean_TOX	4	4	100	1.4579762766499502	1.4576013404945733	0.1436135281562962	14.361352815629619	6091
TCGA-COAD	std_log_family_mean_TOX	4	4	100	1.4001844585348504	1.3831367522646874	0.14261619190404798	14.261619190404797	5336
TCGA-COAD	std_log_ortholog_mean_TOX	4	4	100	1.3946891715994059	1.390768733907331	0.14203276247207744	14.203276247207745	5372
TCGA-COAD	TOX_AND_DGE	4	4	100	1.344469236465139	1.3398592478033406	0.1399625935162095	13.99625935162095	6416
TCGA-COAD	ALL_TOX	4	4	100	1.307606623031143	1.3150186830824409	0.1351051051051051	13.51051051051051	8325
TCGA-COAD	ALL_limma	4	1	25	1.1152367561521985	1.1206410254839367	0.12444916272734556	12.444916272734556	12481
TCGA-COAD	log_ortholog_mean_TOX	4	1	25	0.8811404589773995	0.8962727826265353	0.12138915936384291	12.138915936384292	3081
TCGA-COAD	log_family_mean_TOX	4	1	25	0.8670162015819769	0.8801734874642586	0.12082116196040246	12.082116196040246	3081
TCGA-COAD	ALL_edgeR	4	0	0	1.1122470175724644	1.1002981223321484	0.12450333757151939	12.45033375715194	12584
TCGA-COAD	ALL_DGE	4	0	0	1.0682280271585642	1.0594654219048087	0.12350765399545886	12.350765399545887	13653
TCGA-COAD	ONLY_TOX	4	0	0	0.9380785107908103	0.9441765515676147	0.11877946568884233	11.877946568884234	1909
TCGA-COAD	ONLY_DGE	4	0	0	0.7650941077981821	0.7605767945693972	0.10891944175763438	10.891944175763438	7237
TCGA-KIRC	std_log_family_mean_TOX	4	4	100	1.4984677664243984	1.4592975696365804	0.14617556468172485	14.617556468172484	3896
TCGA-KIRC	full_family_mean_TOX	4	4	100	1.4315642492546239	1.3863335249742323	0.14147024729520866	14.147024729520865	5176
