group	cancer_label	n_tests	n_significant_BH	significance_percent	mean_odds_ratio	median_odds_ratio	mean_precision	mean_precision_percent	mean_detected_n	mean_cancer_detected_n
log_ortholog_mean_TOX	NCG	9	2	22.22222222222222	1.0466775880266577	1.0260933529719276	0.18601708665905212	18.60170866590521	3362.777777777778	626.3333333333334
ALL_edgeR	NCG	9	1	11.11111111111111	1.187867779463133	1.0701459591629476	0.18256862676939092	18.256862676939093	13154.222222222223	2396.222222222222
ONLY_TOX	NCG	9	0	0	0.852456865685092	0.8742524769546988	0.15928057380232916	15.928057380232916	1340.5555555555557	222.55555555555554
ONLY_DGE	NCG	9	0	0	0.8240271297483647	0.7724409681896373	0.1651240798433416	16.51240798433416	7859	1305.888888888889
full_ortholog_mean_TOX	OncoKB	8	8	100	1.6650466207477357	1.6823343522596632	0.09230122009942805	9.230122009942805	5855.25	505
std_log_family_mean_TOX	OncoKB	7	7	100	1.6187812640122143	1.6752690848978935	0.08775110277080622	8.775110277080621	6133.714285714285	536.8571428571429
std_log_ortholog_mean_TOX	OncoKB	7	7	100	1.6066856277605601	1.689859324453886	0.08725054948457384	8.725054948457384	6129.857142857143	535.4285714285714
full_family_mean_TOX	OncoKB	8	7	87.5	1.5852437496630987	1.618617949700603	0.08700126688960952	8.700126688960951	5912.375	509.875
ALL_edgeR	OncoKB	9	7	77.77777777777777	2.9735118097856366	1.2665726282260448	0.07072394469749527	7.0723944697495265	13154.222222222223	926.3333333333334
ALL_limma	OncoKB	9	7	77.77777777777777	1.8612318540344897	1.2366838069106363	0.07142671711381517	7.142671711381516	12692.555555555555	900.5555555555555
TOX_AND_DGE	OncoKB	9	7	77.77777777777777	1.32651742134069	1.4062770524169526	0.07712327571054943	7.712327571054943	6154.555555555556	490.44444444444446
ALL_TOX	OncoKB	9	6	66.66666666666667	1.2100452524401943	1.3322982967525954	0.07136311281089724	7.136311281089725	7495.111111111111	561.3333333333334
ALL_DGE	OncoKB	9	5	55.55555555555556	3.057134554361538	1.3132277300988995	0.07017946954251988	7.017946954251989	14013.555555555555	980.2222222222222
ONLY_DGE	OncoKB	9	1	11.11111111111111	0.9090683846727055	0.7505826603827731	0.061610419014124736	6.1610419014124735	7859	489.77777777777777
log_family_mean_TOX	OncoKB	9	0	0	0.6928436913977806	0.6454161100399111	0.05163037326438279	5.163037326438278	3354.1111111111113	174.88888888888889
log_ortholog_mean_TOX	OncoKB	9	0	0	0.6868668882337471	0.6436721600901187	0.051288701429934296	5.12887014299343	3362.777777777778	174.33333333333334
ONLY_TOX	OncoKB	9	0	0	0.6600608363444201	0.7614825495077613	0.0472237558468926	4.72237558468926	1340.5555555555557	70.88888888888889
