cancer_id	group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
TCGA-COAD	ALL_limma	NCG	12481	2278	10203	0.18251742648826216	1.02971401911612	0.29820870674958616	0.40807507239417057	1	18.25	limma	NA	NA
TCGA-COAD	ONLY_DGE	CGC	7237	214	7023	0.02957026392151444	0.7500782949634148	0.999480811582606	0.9999999997736897	1	2.96	DGE_only	NA	NA
TCGA-COAD	ONLY_DGE	OncoKB	7237	440	6797	0.060798673483487636	0.7505826603827731	0.999997485258076	0.9999999997736897	1	6.08	DGE_only	NA	NA
TCGA-COAD	ONLY_DGE	MERGED	7237	1333	5904	0.1841923448942932	0.7891445470905191	0.9999999985290225	0.9999999997736897	1	18.42	DGE_only	NA	NA
TCGA-COAD	ONLY_DGE	NCG	7237	1166	6071	0.16111648473124224	0.7705709287560213	0.9999999997736897	0.9999999997736897	1	16.11	DGE_only	NA	NA
TCGA-COAD	ONLY_TOX	NCG	1909	344	1565	0.18019905709795705	0.9888262607242554	0.5806750719400968	0.736465944899635	1	18.02	TOX	NA	NA
TCGA-COAD	ONLY_TOX	CGC	1909	62	1847	0.03247773703509691	0.9272258962362888	0.7282449294123841	0.9016365792724755	1	3.25	TOX	NA	NA
TCGA-COAD	ONLY_TOX	MERGED	1909	380	1529	0.19905709795704557	0.9611272068989406	0.7505547069633386	0.9076475526068281	1	19.91	TOX	NA	NA
TCGA-COAD	ONLY_TOX	OncoKB	1909	121	1788	0.06338397066526978	0.8751346793037564	0.9189171520325679	0.9999999997736897	1	6.34	TOX	NA	NA
TCGA-COAD	TOX_AND_DGE	MERGED	6416	1472	4944	0.22942643391521197	1.2918813978369217	9.506304102262993e-11	6.198365434708728e-10	2.8128454765192103e-9	22.94	shared	NA	NA
TCGA-COAD	TOX_AND_DGE	NCG	6416	1317	5099	0.20526807980049874	1.3060972709700167	1.0727940175457414e-10	6.198365434708728e-10	2.8128454765192103e-9	20.53	shared	NA	NA
TCGA-COAD	TOX_AND_DGE	OncoKB	6416	540	5876	0.08416458852867831	1.4062770524169526	3.329264854954564e-8	1.0183633673978665e-7	4.621377719031772e-7	8.42	shared	NA	NA
TCGA-COAD	TOX_AND_DGE	CGC	6416	263	6153	0.04099127182044888	1.3736212246366646	1.820440126056712e-4	4.115777676302131e-4	0.001867757998635849	4.1	shared	NA	NA
TCGA-COAD	full_family_mean_TOX	OncoKB	6091	547	5544	0.08980462978164505	1.587974563290193	1.2046883235492892e-13	3.132189641228152e-12	1.4214014253812626e-11	8.98	TOX	full	family_mean
TCGA-COAD	full_family_mean_TOX	MERGED	6091	1420	4671	0.2331308487933016	1.3272281176989535	1.2596588837298237e-12	2.183408731798361e-11	9.908404787237541e-11	23.31	TOX	full	family_mean
TCGA-COAD	full_family_mean_TOX	NCG	6091	1261	4830	0.20702676079461502	1.317836596472487	3.3924450321830903e-11	3.4124510203048115e-10	1.5485852709745587e-9	20.7	TOX	full	family_mean
TCGA-COAD	full_family_mean_TOX	CGC	6091	271	5820	0.04449187325562305	1.5988658291381672	6.21936575640976e-8	1.7967056629628194e-7	8.153529264992272e-7	4.45	TOX	full	family_mean
TCGA-COAD	full_ortholog_mean_TOX	OncoKB	6021	549	5472	0.09118086696562033	1.6336784929097703	3.8557224940143686e-15	2.0049756968874717e-13	9.098667832555592e-13	9.12	TOX	full	ortholog_mean
TCGA-COAD	full_ortholog_mean_TOX	MERGED	6021	1401	4620	0.2326856003986049	1.3184939456807974	4.355885836082115e-12	5.6626515869067495e-11	2.569736177886948e-10	23.27	TOX	full	ortholog_mean
TCGA-COAD	full_ortholog_mean_TOX	NCG	6021	1244	4777	0.20661019764158778	1.3090971649448864	1.0334249583166975e-10	6.198365434708728e-10	2.8128454765192103e-9	20.66	TOX	full	ortholog_mean
TCGA-COAD	full_ortholog_mean_TOX	CGC	6021	274	5747	0.04550739079887062	1.6687543234342495	3.906811152682216e-9	1.451101285281966e-8	6.585161409523118e-8	4.55	TOX	full	ortholog_mean
TCGA-COAD	log_family_mean_TOX	NCG	3081	603	2478	0.19571567672833495	1.1222576134213604	0.01319122786526578	0.027437753959752825	0.12451373337778127	19.57	TOX	log	family_mean
TCGA-COAD	log_family_mean_TOX	MERGED	3081	649	2432	0.210645894190198	1.0464934747456558	0.18554313043282147	0.2680067439585199	1	21.06	TOX	log	family_mean
TCGA-COAD	log_family_mean_TOX	OncoKB	3081	168	2913	0.054527750730282376	0.7138535001828613	0.9999768129047125	0.9999999997736897	1	5.45	TOX	log	family_mean
TCGA-COAD	log_family_mean_TOX	CGC	3081	69	3012	0.022395326192794548	0.58546021797803	0.9999949225929904	0.9999999997736897	1	2.24	TOX	log	family_mean
